Order ID,Order Date,Ship Date,Customer Name,Country,City,State,Category,Product Name,Sales,Quantity,Profit
CA-2021-138688,13-06-2021,17-06-2021,Darrin Van Huff,United States,Los Angeles,California,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,6.87
CA-2019-115812,09-06-2019,14-06-2019,Brosina Hoffman,United States,Los Angeles,California,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,14.17
CA-2019-115812,09-06-2019,14-06-2019,Brosina Hoffman,United States,Los Angeles,California,Art,Newell 322,7.28,4,1.97
CA-2019-115812,09-06-2019,14-06-2019,Brosina Hoffman,United States,Los Angeles,California,Phones,Mitel 5320 IP Phone VoIP phone,907.15,4,90.72
CA-2019-115812,09-06-2019,14-06-2019,Brosina Hoffman,United States,Los Angeles,California,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.5,3,5.78
CA-2019-115812,09-06-2019,14-06-2019,Brosina Hoffman,United States,Los Angeles,California,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,34.47
CA-2019-115812,09-06-2019,14-06-2019,Brosina Hoffman,United States,Los Angeles,California,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,85.31
CA-2019-115812,09-06-2019,14-06-2019,Brosina Hoffman,United States,Los Angeles,California,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4,68.36
CA-2021-161389,06-12-2021,11-12-2021,Irene Maddox,United States,Seattle,Washington,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,132.59
CA-2019-167164,13-05-2019,15-05-2019,Alejandro Grove,United States,West Jordan,Utah,Storage,Fellowes Super Stor/Drawer,55.5,2,9.99
CA-2019-143336,27-08-2019,01-09-2019,Zuschuss Donatelli,United States,San Francisco,California,Art,Newell 341,8.56,2,2.48
CA-2019-143336,27-08-2019,01-09-2019,Zuschuss Donatelli,United States,San Francisco,California,Phones,Cisco SPA 501G IP Phone,213.48,3,16.01
CA-2019-143336,27-08-2019,01-09-2019,Zuschuss Donatelli,United States,San Francisco,California,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,7.38
CA-2020-106320,25-09-2020,30-09-2020,Emily Burns,United States,Orem,Utah,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,240.26
CA-2021-121755,16-01-2021,20-01-2021,Eric Hoffmann,United States,Los Angeles,California,Binders,Wilson Jones Active Use Binders,11.65,2,4.22
CA-2021-121755,16-01-2021,20-01-2021,Eric Hoffmann,United States,Los Angeles,California,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,11.77
CA-2021-101343,18-07-2021,23-07-2021,Ruben Ausman,United States,Los Angeles,California,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,3.89
CA-2020-135545,24-11-2020,30-11-2020,Kunst Miller,United States,Los Angeles,California,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,6.15
CA-2020-135545,24-11-2020,30-11-2020,Kunst Miller,United States,Los Angeles,California,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,6,9.36
CA-2020-135545,24-11-2020,30-11-2020,Kunst Miller,United States,Los Angeles,California,Paper,Xerox 1943,146.73,3,68.96
CA-2020-135545,24-11-2020,30-11-2020,Kunst Miller,United States,Los Angeles,California,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,22.33
CA-2019-106376,05-12-2019,10-12-2019,Brendan Sweed,United States,Gilbert,Arizona,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,111.3
CA-2019-106376,05-12-2019,10-12-2019,Brendan Sweed,United States,Gilbert,Arizona,Phones,netTALK DUO VoIP Telephone Service,167.97,4,62.99
CA-2019-139451,12-10-2019,16-10-2019,Duane Noonan,United States,San Francisco,California,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,4.17
CA-2019-139451,12-10-2019,16-10-2019,Duane Noonan,United States,San Francisco,California,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,6.2
CA-2021-109806,18-09-2021,23-09-2021,Jim Sink,United States,Los Angeles,California,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,6.63
CA-2021-109806,18-09-2021,23-09-2021,Jim Sink,United States,Los Angeles,California,Phones,Panasonic Kx-TS550,73.58,2,8.28
CA-2021-109806,18-09-2021,23-09-2021,Jim Sink,United States,Los Angeles,California,Paper,Xerox 1995,6.48,1,3.11
US-2022-109484,07-11-2022,13-11-2022,Roger Barcio,United States,Portland,Oregon,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1,-3.79
CA-2022-157833,18-06-2022,21-06-2022,Katherine Ducich,United States,San Francisco,California,Binders,Trimflex Flexible Post Binders,51.31,3,17.96
US-2020-156867,13-11-2020,17-11-2020,Lena Cacioppo,United States,Aurora,Colorado,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.9,6,-26.88
US-2020-156867,13-11-2020,17-11-2020,Lena Cacioppo,United States,Aurora,Colorado,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,-3.84
US-2020-156867,13-11-2020,17-11-2020,Lena Cacioppo,United States,Aurora,Colorado,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.88,3,-25.82
